id,produto,quantidade,preço,data
1,camiseta,2,35.90,24/10/2024
2,calça,5,90.00,24/10/2024
3,sapato,3,120.00,24/10/2024
4,meia,20,6.50,24/10/2024
5,mesa lateral,2,250.00,24/10/2024
6,camisa,7,55.00,24/10/2024
7,bermuda,6,75.00,24/10/2024
8,tênis,4,150.00,24/10/2024
9,boné,12,15.50,24/10/2024
10,casaco,2,210.00,24/10/2024
11,mochila,9,85.00,24/10/2024
12,livro,15,27.00,24/10/2024
13,caderno,18,10.50,24/10/2024
14,lápis,30,1.20,24/10/2024
15,borracha,25,0.80,24/10/2024
16,cola,10,3.20,24/10/2024
17,mesa lateral,2,250.00,24/10/2024
18,pincel atômico,8,8.50,24/10/2024
19,papel sulfite A4 500 folhas,6,30.00,24/10/2024
20,pasta sanfonada,4,42.00,24/10/2024
21,fone de ouvido,5,95.00,24/10/2024
22,mouse sem fio,7,65.00,24/10/2024
23,filtro de linha,6,32.00,24/10/2024
24,cabo HDMI,10,18.00,24/10/2024
25,pilha AA,20,2.50,24/10/2024
26,luminária de mesa,4,45.00,24/10/2024
27,relogio de parede,8,22.00,24/10/2024
28,porta-retrato digital,2,110.00,24/10/2024
29,vaporizador de roupas,1,180.00,24/10/2024
30,balança digital,3,70.00,24/10/2024
31,furadeira elétrica,2,220.00,24/10/2024
32,jogo de panelas antiaderente,5,130.00,24/10/2024
33,faca elétrica,4,85.00,24/10/2024
34,sanduicheira elétrica,6,45.00,24/10/2024
35,mixer de alimentos,7,55.00,24/10/2024
36,batedeira planetária,2,310.00,24/10/2024
37,guitarra elétrica fender,3,2999.00,24/10/2024
38,mesa lateral,2,250.00,24/10/2024
39,pedaleira preta,5,520.00,24/10/2024
40,cabo para instrumento ninja,10,60.00,24/10/2024
41,palheta dunlop,20,1.50,25/10/2024
42,afinador digital,6,50.00,25/10/2024
43,capotraste,8,100.00,25/10/2024
44,suporte para guitarra,7,30.00,25/10/2024
45,correia para guitarra,9,20.00,25/10/2024
46,encordoamento para guitarra,12,40.00,25/10/2024
47,violão acústico,4,310.00,25/10/2024
48,capa para violão,5,105.00,25/10/2024
49,banqueta para violão,6,70.00,25/10/2024
50,limpador de cordas,8,30.00,25/10/2024
51,flauta transversal,2,2000.00,25/10/2024
52,suporte para flauta,4,80.00,25/10/2024
53,estojo para flauta,10,10000.00,25/10/2024
54,saxofone,4,4400.00,25/10/2024
55,suporte para saxofone,5,35.00,25/10/2024
56,teclado musical casio,2,800.00,25/10/2024
57,sintetizador de voz,3,350.00,25/10/2024
58,controlador com cabo usb,4,130.00,25/10/2024
59,caixa de som jbl,2,40.00,25/10/2024
60,microfone sem fio shure,3,2100.00,25/10/2024
61,pedestal para microfone,6,160.00,25/10/2024
62,cabo para microfone,10,15.00,25/10/2024
63,caixa acústica,8,800.00,25/10/2024
64,mesa lateral,2,250.00,25/10/2024
65,fone de ouvido profissional akg,3,310.00,25/10/2024
66,monitor yamaha hs5,2,1000.00,25/10/2024
67,filtro de café,4,50.00,25/10/2024
68,chapinha,3,120.00,25/10/2024
69,secador de cabelo,2,150.00,25/10/2024
70,penteadeira,1,600.00,25/10/2024
71,banco de madeira,2,150.00,25/10/2024
72,mesa de jantar,1,800.00,25/10/2024
73,cadeira de escritório,3,300.00,25/10/2024
74,estante,1,400.00,25/10/2024
75,sofa,1,2000.00,25/10/2024
76,guarda-roupa,1,1500.00,25/10/2024
77,cama de casal,1,1200.00,25/10/2024
78,colchão,1,700.00,25/10/2024
79,mesa lateral,2,250.00,25/10/2024
80,luminária de pé,1,350.00,25/10/2024
81,relógio de pulso,2,100.00,25/10/2024
82,bicicleta,1,800.00,25/10/2024
83,skate,2,150.00,25/10/2024
84,hoverboard,1,1200.00,25/10/2024
85,piscina inflável,1,500.00,25/10/2024
86,jardineira,1,200.00,25/10/2024
87,ferramentas de jardinagem,3,300.00,25/10/2024
88,estátua decorativa,1,150.00,25/10/2024
